Listing of POP Phase Cross-Section Data

File : C:\Users\liyitong\Documents\Zemax\Autosave\Recovered\R_fu_05.zos
Title: 
Date : 2026/6/29


Phase X-Cross section surface 4 
Beam wavelength is 1.00000 µm in the media with index 1.00000 at 0.0000 (deg)
Center, Y = 0.0000E+00
Beam Width X = 1.19468E-01, Y = 1.19468E-01 Millimeters
Grid size (X by Y): 2048 by 2048


  X Coordinate	    Phase (rad)
 -8.719925E-02	  1.585423E+00
 -8.709925E-02	  1.656264E+00
 -8.699925E-02	  1.727029E+00
 -8.689925E-02	  1.797717E+00
 -8.679925E-02	  1.868329E+00
 -8.669925E-02	  1.938865E+00
 -8.659925E-02	  2.009324E+00
 -8.649925E-02	  2.079708E+00
 -8.639925E-02	  2.150014E+00
 -8.629925E-02	  2.220245E+00
 -8.619926E-02	  2.290399E+00
 -8.609926E-02	  2.360476E+00
 -8.599926E-02	  2.430478E+00
 -8.589926E-02	  2.500402E+00
 -8.579926E-02	  2.570251E+00
 -8.569926E-02	  2.640023E+00
 -8.559926E-02	  2.709718E+00
 -8.549926E-02	  2.779337E+00
 -8.539926E-02	  2.848879E+00
 -8.529926E-02	  2.918345E+00
 -8.519926E-02	  2.987735E+00
 -8.509926E-02	  3.057047E+00
 -8.499927E-02	  3.126283E+00
 -8.489927E-02	 -3.087742E+00
 -8.479927E-02	 -3.018659E+00
 -8.469927E-02	 -2.949653E+00
 -8.459927E-02	 -2.880723E+00
 -8.449927E-02	 -2.811871E+00
 -8.439927E-02	 -2.743094E+00
 -8.429927E-02	 -2.674395E+00
 -8.419927E-02	 -2.605772E+00
 -8.409927E-02	 -2.537226E+00
 -8.399927E-02	 -2.468756E+00
 -8.389928E-02	 -2.400364E+00
 -8.379928E-02	 -2.332048E+00
 -8.369928E-02	 -2.263809E+00
 -8.359928E-02	 -2.195647E+00
 -8.349928E-02	 -2.127562E+00
 -8.339928E-02	 -2.059553E+00
 -8.329928E-02	 -1.991622E+00
 -8.319928E-02	 -1.923767E+00
 -8.309928E-02	 -1.855989E+00
 -8.299928E-02	 -1.788289E+00
 -8.289928E-02	 -1.720665E+00
 -8.279928E-02	 -1.653118E+00
 -8.269929E-02	 -1.585648E+00
 -8.259929E-02	 -1.518255E+00
 -8.249929E-02	 -1.450939E+00
 -8.239929E-02	 -1.383700E+00
 -8.229929E-02	 -1.316538E+00
 -8.219929E-02	 -1.249453E+00
 -8.209929E-02	 -1.182446E+00
 -8.199929E-02	 -1.115515E+00
 -8.189929E-02	 -1.048662E+00
 -8.179929E-02	 -9.818853E-01
 -8.169929E-02	 -9.151861E-01
 -8.159929E-02	 -8.485640E-01
 -8.149930E-02	 -7.820192E-01
 -8.139930E-02	 -7.155515E-01
 -8.129930E-02	 -6.491610E-01
 -8.119930E-02	 -5.828478E-01
 -8.109930E-02	 -5.166118E-01
 -8.099930E-02	 -4.504531E-01
 -8.089930E-02	 -3.843716E-01
 -8.079930E-02	 -3.183675E-01
 -8.069930E-02	 -2.524406E-01
 -8.059930E-02	 -1.865911E-01
 -8.049930E-02	 -1.208189E-01
 -8.039931E-02	 -5.512413E-02
 -8.029931E-02	  1.049331E-02
 -8.019931E-02	  7.603335E-02
 -8.009931E-02	  1.414960E-01
 -7.999931E-02	  2.068812E-01
 -7.989931E-02	  2.721890E-01
 -7.979931E-02	  3.374193E-01
 -7.969931E-02	  4.025721E-01
 -7.959931E-02	  4.676475E-01
 -7.949931E-02	  5.326453E-01
 -7.939931E-02	  5.975656E-01
 -7.929931E-02	  6.624084E-01
 -7.919932E-02	  7.271736E-01
 -7.909932E-02	  7.918613E-01
 -7.899932E-02	  8.564713E-01
 -7.889932E-02	  9.210038E-01
 -7.879932E-02	  9.854586E-01
