Listing of POP Phase Cross-Section Data

File : C:\Users\liyitong\Documents\Zemax\Autosave\Recovered\R_fu_05.zos
Title: 
Date : 2026/6/29


Phase X-Cross section surface 3 
Beam wavelength is 1.00000 µm in the media with index 1.00000 at 0.0000 (deg)
Center, Y = 0.0000E+00
Beam Width X = 1.17870E-01, Y = 1.17870E-01 Millimeters
Grid size (X by Y): 2048 by 2048


  X Coordinate	    Phase (rad)
 -1.024000E-01	 -2.367430E+00
 -1.023000E-01	 -2.551806E+00
 -1.022000E-01	 -2.736017E+00
 -1.021000E-01	 -2.920064E+00
 -1.020000E-01	 -3.103946E+00
 -1.019000E-01	  2.995522E+00
 -1.018000E-01	  2.811969E+00
 -1.017000E-01	  2.628581E+00
 -1.016000E-01	  2.445358E+00
 -1.015000E-01	  2.262299E+00
 -1.014000E-01	  2.079406E+00
 -1.013000E-01	  1.896677E+00
 -1.012000E-01	  1.714113E+00
 -1.011000E-01	  1.531713E+00
 -1.010000E-01	  1.349479E+00
 -1.009000E-01	  1.167410E+00
 -1.008000E-01	  9.855059E-01
 -1.007000E-01	  8.037669E-01
 -1.006000E-01	  6.221930E-01
 -1.005000E-01	  4.407844E-01
 -1.004000E-01	  2.595409E-01
 -1.003000E-01	  7.846269E-02
 -1.002000E-01	 -1.024502E-01
 -1.001000E-01	 -2.831977E-01
 -1.000000E-01	 -4.637799E-01
 -9.990000E-02	 -6.441966E-01
 -9.980000E-02	 -8.244479E-01
 -9.970000E-02	 -1.004534E+00
 -9.960000E-02	 -1.184454E+00
 -9.950000E-02	 -1.364208E+00
 -9.940000E-02	 -1.543797E+00
 -9.930000E-02	 -1.723221E+00
 -9.920000E-02	 -1.902478E+00
 -9.910000E-02	 -2.081570E+00
 -9.900000E-02	 -2.260496E+00
 -9.890000E-02	 -2.439256E+00
 -9.880000E-02	 -2.617850E+00
 -9.870000E-02	 -2.796279E+00
 -9.860000E-02	 -2.974541E+00
 -9.850000E-02	  3.130548E+00
 -9.840000E-02	  2.952618E+00
 -9.830000E-02	  2.774854E+00
 -9.820000E-02	  2.597256E+00
 -9.810000E-02	  2.419824E+00
 -9.800000E-02	  2.242558E+00
 -9.790000E-02	  2.065459E+00
 -9.780000E-02	  1.888526E+00
 -9.770000E-02	  1.711759E+00
 -9.760000E-02	  1.535158E+00
 -9.750000E-02	  1.358725E+00
 -9.740000E-02	  1.182457E+00
 -9.730000E-02	  1.006356E+00
 -9.720000E-02	  8.304217E-01
 -9.710000E-02	  6.546538E-01
 -9.700000E-02	  4.790526E-01
 -9.690000E-02	  3.036181E-01
 -9.680000E-02	  1.283502E-01
 -9.670000E-02	 -4.675086E-02
 -9.660000E-02	 -2.216852E-01
 -9.650000E-02	 -3.964526E-01
 -9.640000E-02	 -5.710532E-01
 -9.630000E-02	 -7.454869E-01
 -9.620000E-02	 -9.197536E-01
 -9.610000E-02	 -1.093853E+00
 -9.600000E-02	 -1.267786E+00
 -9.590000E-02	 -1.441552E+00
 -9.580000E-02	 -1.615150E+00
 -9.570000E-02	 -1.788581E+00
 -9.560000E-02	 -1.961846E+00
 -9.550000E-02	 -2.134943E+00
 -9.540000E-02	 -2.307872E+00
 -9.530000E-02	 -2.480634E+00
 -9.520000E-02	 -2.653229E+00
 -9.510000E-02	 -2.825657E+00
 -9.500000E-02	 -2.997917E+00
 -9.490000E-02	  3.113176E+00
 -9.480000E-02	  2.941250E+00
 -9.470000E-02	  2.769493E+00
 -9.460000E-02	  2.597903E+00
 -9.450000E-02	  2.426481E+00
 -9.440000E-02	  2.255226E+00
 -9.430000E-02	  2.084139E+00
 -9.420000E-02	  1.913220E+00
 -9.410000E-02	  1.742469E+00
 -9.400000E-02	  1.571885E+00
 -9.390000E-02	  1.401470E+00
 -9.380000E-02	  1.231222E+00
 -9.370000E-02	  1.061142E+00
 -9.360000E-02	  8.912304E-01
 -9.350000E-02	  7.214868E-01
 -9.340000E-02	  5.519112E-01
 -9.330000E-02	  3.825037E-01
 -9.320000E-02	  2.132644E-01
 -9.310000E-02	  4.419327E-02
 -9.300000E-02	 -1.247096E-01
 -9.290000E-02	 -2.934442E-01
 -9.280000E-02	 -4.620105E-01
 -9.270000E-02	 -6.304084E-01
 -9.260000E-02	 -7.986379E-01
 -9.250000E-02	 -9.666989E-01
 -9.240000E-02	 -1.134591E+00
 -9.230000E-02	 -1.302316E+00
 -9.220000E-02	 -1.469871E+00
 -9.210000E-02	 -1.637258E+00
 -9.200000E-02	 -1.804476E+00
 -9.190000E-02	 -1.971526E+00
 -9.180000E-02	 -2.138407E+00
 -9.170000E-02	 -2.305119E+00
 -9.160000E-02	 -2.471662E+00
 -9.150000E-02	 -2.638037E+00
 -9.140000E-02	 -2.804242E+00
 -9.130000E-02	 -2.970279E+00
 -9.120000E-02	 -3.136147E+00
 -9.110000E-02	  2.981340E+00
 -9.100000E-02	  2.815810E+00
