Listing of POP Phase Cross-Section Data

File : C:\Users\liyitong\Documents\Zemax\Autosave\Recovered\R_fu_05.zos
Title: 
Date : 2026/6/29


Phase X-Cross section surface 4 
Beam wavelength is 1.00000 µm in the media with index 1.00000 at 0.0000 (deg)
Center, Y = 0.0000E+00
Beam Width X = 1.17870E-01, Y = 1.17870E-01 Millimeters
Grid size (X by Y): 2048 by 2048


  X Coordinate	    Phase (rad)
 -1.024000E-01	  1.563433E+00
 -1.023000E-01	  1.563423E+00
 -1.022000E-01	  1.563413E+00
 -1.021000E-01	  1.563403E+00
 -1.020000E-01	  1.563393E+00
 -1.019000E-01	  1.563383E+00
 -1.018000E-01	  1.563373E+00
 -1.017000E-01	  1.563363E+00
 -1.016000E-01	  1.563352E+00
 -1.015000E-01	  1.563342E+00
 -1.014000E-01	  1.563332E+00
 -1.013000E-01	  1.563322E+00
 -1.012000E-01	  1.563312E+00
 -1.011000E-01	  1.563302E+00
 -1.010000E-01	  1.563292E+00
 -1.009000E-01	  1.563282E+00
 -1.008000E-01	  1.563272E+00
 -1.007000E-01	  1.563262E+00
 -1.006000E-01	  1.563252E+00
 -1.005000E-01	  1.563242E+00
 -1.004000E-01	  1.563232E+00
 -1.003000E-01	  1.563223E+00
 -1.002000E-01	  1.563213E+00
 -1.001000E-01	  1.563203E+00
 -1.000000E-01	  1.563193E+00
 -9.990000E-02	  1.563183E+00
 -9.980000E-02	  1.563173E+00
 -9.970000E-02	  1.563163E+00
 -9.960000E-02	  1.563153E+00
 -9.950000E-02	  1.563144E+00
 -9.940000E-02	  1.563134E+00
 -9.930000E-02	  1.563124E+00
 -9.920000E-02	  1.563114E+00
 -9.910000E-02	  1.563104E+00
 -9.900000E-02	  1.563095E+00
 -9.890000E-02	  1.563085E+00
 -9.880000E-02	  1.563075E+00
 -9.870000E-02	  1.563065E+00
 -9.860000E-02	  1.563056E+00
 -9.850000E-02	  1.563046E+00
 -9.840000E-02	  1.563036E+00
 -9.830000E-02	  1.563027E+00
 -9.820000E-02	  1.563017E+00
 -9.810000E-02	  1.563007E+00
 -9.800000E-02	  1.562998E+00
 -9.790000E-02	  1.562988E+00
 -9.780000E-02	  1.562978E+00
 -9.770000E-02	  1.562969E+00
 -9.760000E-02	  1.562959E+00
 -9.750000E-02	  1.562949E+00
 -9.740000E-02	  1.562940E+00
 -9.730000E-02	  1.562930E+00
 -9.720000E-02	  1.562921E+00
 -9.710000E-02	  1.562911E+00
 -9.700000E-02	  1.562902E+00
 -9.690000E-02	  1.562892E+00
 -9.680000E-02	  1.562883E+00
 -9.670000E-02	  1.562873E+00
 -9.660000E-02	  1.562864E+00
 -9.650000E-02	  1.562854E+00
 -9.640000E-02	  1.562845E+00
 -9.630000E-02	  1.562835E+00
 -9.620000E-02	  1.562826E+00
 -9.610000E-02	  1.562816E+00
 -9.600000E-02	  1.562807E+00
 -9.590000E-02	  1.562798E+00
 -9.580000E-02	  1.562788E+00
 -9.570000E-02	  1.562779E+00
 -9.560000E-02	  1.562769E+00
 -9.550000E-02	  1.562760E+00
 -9.540000E-02	  1.562751E+00
 -9.530000E-02	  1.562741E+00
 -9.520000E-02	  1.562732E+00
 -9.510000E-02	  1.562723E+00
 -9.500000E-02	  1.562713E+00
 -9.490000E-02	  1.562704E+00
 -9.480000E-02	  1.562695E+00
 -9.470000E-02	  1.562686E+00
 -9.460000E-02	  1.562676E+00
 -9.450000E-02	  1.562667E+00
 -9.440000E-02	  1.562658E+00
 -9.430000E-02	  1.562649E+00
 -9.420000E-02	  1.562639E+00
 -9.410000E-02	  1.562630E+00
 -9.400000E-02	  1.562621E+00
 -9.390000E-02	  1.562612E+00
 -9.380000E-02	  1.562603E+00
 -9.370000E-02	  1.562594E+00
 -9.360000E-02	  1.562584E+00
 -9.350000E-02	  1.562575E+00
 -9.340000E-02	  1.562566E+00
 -9.330000E-02	  1.562557E+00
 -9.320000E-02	  1.562548E+00
 -9.310000E-02	  1.562539E+00
 -9.300000E-02	  1.562530E+00
 -9.290000E-02	  1.562521E+00
 -9.280000E-02	  1.562512E+00
 -9.270000E-02	  1.562503E+00
 -9.260000E-02	  1.562494E+00
 -9.250000E-02	  1.562485E+00
 -9.240000E-02	  1.562476E+00
 -9.230000E-02	  1.562467E+00
 -9.220000E-02	  1.562458E+00
 -9.210000E-02	  1.562449E+00
 -9.200000E-02	  1.562440E+00
 -9.190000E-02	  1.562431E+00
 -9.180000E-02	  1.562422E+00
 -9.170000E-02	  1.562413E+00
 -9.160000E-02	  1.562404E+00
 -9.150000E-02	  1.562395E+00
 -9.140000E-02	  1.562386E+00
 -9.130000E-02	  1.562377E+00
 -9.120000E-02	  1.562369E+00
