Listing of POP Phase Cross-Section Data

File : C:\Users\liyitong\Documents\Zemax\Autosave\Recovered\R_fu_05.zos
Title: 
Date : 2026/6/29


Phase X-Cross section surface 3 
Beam wavelength is 1.00000 µm in the media with index 1.00000 at 0.0000 (deg)
Center, Y = 0.0000E+00
Beam Width X = 1.17870E-01, Y = 1.17870E-01 Millimeters
Grid size (X by Y): 2048 by 2048


  X Coordinate	    Phase (rad)
 -1.024000E-01	 -2.369147E+00
 -1.023000E-01	 -2.243143E+00
 -1.022000E-01	 -2.117256E+00
 -1.021000E-01	 -1.991489E+00
 -1.020000E-01	 -1.865839E+00
 -1.019000E-01	 -1.740307E+00
 -1.018000E-01	 -1.614894E+00
 -1.017000E-01	 -1.489599E+00
 -1.016000E-01	 -1.364422E+00
 -1.015000E-01	 -1.239364E+00
 -1.014000E-01	 -1.114423E+00
 -1.013000E-01	 -9.896014E-01
 -1.012000E-01	 -8.648977E-01
 -1.011000E-01	 -7.403124E-01
 -1.010000E-01	 -6.158454E-01
 -1.009000E-01	 -4.914967E-01
 -1.008000E-01	 -3.672665E-01
 -1.007000E-01	 -2.431546E-01
 -1.006000E-01	 -1.191610E-01
 -1.005000E-01	  4.714068E-03
 -1.004000E-01	  1.284708E-01
 -1.003000E-01	  2.521090E-01
 -1.002000E-01	  3.756288E-01
 -1.001000E-01	  4.990302E-01
 -1.000000E-01	  6.223131E-01
 -9.990000E-02	  7.454775E-01
 -9.980000E-02	  8.685234E-01
 -9.970000E-02	  9.914507E-01
 -9.960000E-02	  1.114260E+00
 -9.950000E-02	  1.236950E+00
 -9.940000E-02	  1.359522E+00
 -9.930000E-02	  1.481975E+00
 -9.920000E-02	  1.604309E+00
 -9.910000E-02	  1.726525E+00
 -9.900000E-02	  1.848623E+00
 -9.890000E-02	  1.970602E+00
 -9.880000E-02	  2.092462E+00
 -9.870000E-02	  2.214203E+00
 -9.860000E-02	  2.335826E+00
 -9.850000E-02	  2.457330E+00
 -9.840000E-02	  2.578716E+00
 -9.830000E-02	  2.699982E+00
 -9.820000E-02	  2.821131E+00
 -9.810000E-02	  2.942160E+00
 -9.800000E-02	  3.063070E+00
 -9.790000E-02	 -3.099323E+00
 -9.780000E-02	 -2.978650E+00
 -9.770000E-02	 -2.858096E+00
 -9.760000E-02	 -2.737660E+00
 -9.750000E-02	 -2.617344E+00
 -9.740000E-02	 -2.497146E+00
 -9.730000E-02	 -2.377067E+00
 -9.720000E-02	 -2.257107E+00
 -9.710000E-02	 -2.137266E+00
 -9.700000E-02	 -2.017543E+00
 -9.690000E-02	 -1.897940E+00
 -9.680000E-02	 -1.778455E+00
 -9.670000E-02	 -1.659089E+00
 -9.660000E-02	 -1.539843E+00
 -9.650000E-02	 -1.420715E+00
