Listing of POP Phase Cross-Section Data

File : C:\Users\liyitong\Documents\Zemax\Autosave\Recovered\R_fu_05.zos
Title: 
Date : 2026/6/29


Phase X-Cross section surface 4 
Beam wavelength is 1.00000 µm in the media with index 1.00000 at 0.0000 (deg)
Center, Y = 0.0000E+00
Beam Width X = 1.14955E-01, Y = 1.14955E-01 Millimeters
Grid size (X by Y): 2048 by 2048


  X Coordinate	    Phase (rad)
 -1.024013E-01	  2.585915E+00
 -1.023013E-01	  2.465125E+00
 -1.022013E-01	  2.344438E+00
 -1.021013E-01	  2.223854E+00
 -1.020013E-01	  2.103373E+00
 -1.019013E-01	  1.982996E+00
 -1.018013E-01	  1.862722E+00
 -1.017013E-01	  1.742551E+00
 -1.016013E-01	  1.622484E+00
 -1.015013E-01	  1.502521E+00
 -1.014013E-01	  1.382661E+00
 -1.013013E-01	  1.262905E+00
 -1.012013E-01	  1.143252E+00
 -1.011013E-01	  1.023703E+00
 -1.010013E-01	  9.042582E-01
 -1.009013E-01	  7.849168E-01
 -1.008013E-01	  6.656793E-01
 -1.007013E-01	  5.465456E-01
 -1.006013E-01	  4.275158E-01
 -1.005013E-01	  3.085899E-01
 -1.004013E-01	  1.897680E-01
 -1.003013E-01	  7.105016E-02
 -1.002013E-01	 -4.756364E-02
 -1.001013E-01	 -1.660733E-01
 -1.000013E-01	 -2.844789E-01
 -9.990129E-02	 -4.027802E-01
 -9.980129E-02	 -5.209774E-01
 -9.970129E-02	 -6.390702E-01
 -9.960129E-02	 -7.570588E-01
 -9.950129E-02	 -8.749430E-01
 -9.940129E-02	 -9.927228E-01
 -9.930129E-02	 -1.110398E+00
 -9.920129E-02	 -1.227969E+00
 -9.910128E-02	 -1.345436E+00
 -9.900128E-02	 -1.462797E+00
 -9.890128E-02	 -1.580055E+00
 -9.880128E-02	 -1.697207E+00
 -9.870128E-02	 -1.814255E+00
 -9.860128E-02	 -1.931199E+00
 -9.850128E-02	 -2.048037E+00
 -9.840128E-02	 -2.164771E+00
 -9.830127E-02	 -2.281400E+00
 -9.820127E-02	 -2.397924E+00
 -9.810127E-02	 -2.514343E+00
 -9.800127E-02	 -2.630657E+00
 -9.790127E-02	 -2.746866E+00
 -9.780127E-02	 -2.862970E+00
 -9.770127E-02	 -2.978969E+00
 -9.760126E-02	 -3.094863E+00
 -9.750126E-02	  3.072533E+00
 -9.740126E-02	  2.956850E+00
 -9.730126E-02	  2.841271E+00
 -9.720126E-02	  2.725798E+00
 -9.710126E-02	  2.610430E+00
 -9.700126E-02	  2.495168E+00
 -9.690126E-02	  2.380011E+00
 -9.680125E-02	  2.264959E+00
 -9.670125E-02	  2.150013E+00
 -9.660125E-02	  2.035173E+00
 -9.650125E-02	  1.920438E+00
 -9.640125E-02	  1.805808E+00
 -9.630125E-02	  1.691284E+00
 -9.620125E-02	  1.576866E+00
 -9.610125E-02	  1.462554E+00
 -9.600124E-02	  1.348347E+00
 -9.590124E-02	  1.234246E+00
 -9.580124E-02	  1.120251E+00
 -9.570124E-02	  1.006362E+00
 -9.560124E-02	  8.925782E-01
 -9.550124E-02	  7.789008E-01
 -9.540124E-02	  6.653294E-01
 -9.530124E-02	  5.518640E-01
 -9.520123E-02	  4.385047E-01
 -9.510123E-02	  3.252514E-01
 -9.500123E-02	  2.121043E-01
 -9.490123E-02	  9.906344E-02
 -9.480123E-02	 -1.387125E-02
 -9.470123E-02	 -1.266997E-01
 -9.460123E-02	 -2.394218E-01
 -9.450122E-02	 -3.520376E-01
 -9.440122E-02	 -4.645470E-01
 -9.430122E-02	 -5.769501E-01
 -9.420122E-02	 -6.892466E-01
 -9.410122E-02	 -8.014367E-01
 -9.400122E-02	 -9.135202E-01
 -9.390122E-02	 -1.025497E+00
 -9.380122E-02	 -1.137368E+00
 -9.370121E-02	 -1.249131E+00
 -9.360121E-02	 -1.360788E+00
 -9.350121E-02	 -1.472339E+00
 -9.340121E-02	 -1.583782E+00
 -9.330121E-02	 -1.695119E+00
 -9.320121E-02	 -1.806349E+00
 -9.310121E-02	 -1.917472E+00
 -9.300121E-02	 -2.028488E+00
 -9.290120E-02	 -2.139397E+00
 -9.280120E-02	 -2.250199E+00
 -9.270120E-02	 -2.360894E+00
 -9.260120E-02	 -2.471483E+00
 -9.250120E-02	 -2.581963E+00
 -9.240120E-02	 -2.692337E+00
 -9.230120E-02	 -2.802604E+00
 -9.220119E-02	 -2.912763E+00
 -9.210119E-02	 -3.022815E+00
 -9.200119E-02	 -3.132760E+00
 -9.190119E-02	  3.040587E+00
 -9.180119E-02	  2.930857E+00
 -9.170119E-02	  2.821235E+00
 -9.160119E-02	  2.711719E+00
 -9.150119E-02	  2.602312E+00
 -9.140118E-02	  2.493011E+00
 -9.130118E-02	  2.383819E+00
 -9.120118E-02	  2.274733E+00
 -9.110118E-02	  2.165756E+00
 -9.100118E-02	  2.056886E+00
 -9.090118E-02	  1.948124E+00
 -9.080118E-02	  1.839470E+00
 -9.070118E-02	  1.730923E+00
 -9.060117E-02	  1.622485E+00
 -9.050117E-02	  1.514154E+00
 -9.040117E-02	  1.405931E+00
 -9.030117E-02	  1.297816E+00
 -9.020117E-02	  1.189809E+00
 -9.010117E-02	  1.081910E+00
 -9.000117E-02	  9.741191E-01
 -8.990117E-02	  8.664363E-01
 -8.980116E-02	  7.588616E-01
 -8.970116E-02	  6.513950E-01
 -8.960116E-02	  5.440367E-01
 -8.950116E-02	  4.367866E-01
 -8.940116E-02	  3.296448E-01
 -8.930116E-02	  2.226113E-01
 -8.920116E-02	  1.156861E-01
 -8.910115E-02	  8.869363E-03
 -8.900115E-02	 -9.783897E-02
 -8.890115E-02	 -2.044388E-01
 -8.880115E-02	 -3.109302E-01
 -8.870115E-02	 -4.173130E-01
 -8.860115E-02	 -5.235873E-01
 -8.850115E-02	 -6.297529E-01
 -8.840115E-02	 -7.358099E-01
 -8.830114E-02	 -8.417582E-01
 -8.820114E-02	 -9.475978E-01
 -8.810114E-02	 -1.053329E+00
 -8.800114E-02	 -1.158951E+00
 -8.790114E-02	 -1.264464E+00
 -8.780114E-02	 -1.369868E+00
 -8.770114E-02	 -1.475164E+00
 -8.760114E-02	 -1.580350E+00
 -8.750113E-02	 -1.685428E+00
 -8.740113E-02	 -1.790396E+00
 -8.730113E-02	 -1.895256E+00
 -8.720113E-02	 -2.000006E+00
 -8.710113E-02	 -2.104647E+00
 -8.700113E-02	 -2.209179E+00
 -8.690113E-02	 -2.313602E+00
 -8.680112E-02	 -2.417916E+00
 -8.670112E-02	 -2.522120E+00
 -8.660112E-02	 -2.626215E+00
 -8.650112E-02	 -2.730201E+00
 -8.640112E-02	 -2.834077E+00
 -8.630112E-02	 -2.937844E+00
 -8.620112E-02	 -3.041502E+00
 -8.610112E-02	  3.138136E+00
 -8.600111E-02	  3.034697E+00
 -8.590111E-02	  2.931368E+00
 -8.580111E-02	  2.828149E+00
 -8.570111E-02	  2.725039E+00
 -8.560111E-02	  2.622039E+00
 -8.550111E-02	  2.519149E+00
 -8.540111E-02	  2.416369E+00
 -8.530111E-02	  2.313698E+00
 -8.520110E-02	  2.211137E+00
 -8.510110E-02	  2.108686E+00
 -8.500110E-02	  2.006344E+00
 -8.490110E-02	  1.904113E+00
 -8.480110E-02	  1.801992E+00
 -8.470110E-02	  1.699980E+00
 -8.460110E-02	  1.598079E+00
 -8.450110E-02	  1.496288E+00
 -8.440109E-02	  1.394607E+00
 -8.430109E-02	  1.293035E+00
 -8.420109E-02	  1.191575E+00
 -8.410109E-02	  1.090224E+00
 -8.400109E-02	  9.889834E-01
 -8.390109E-02	  8.878532E-01
 -8.380109E-02	  7.868333E-01
 -8.370108E-02	  6.859237E-01
 -8.360108E-02	  5.851246E-01
 -8.350108E-02	  4.844358E-01
 -8.340108E-02	  3.838575E-01
 -8.330108E-02	  2.833897E-01
 -8.320108E-02	  1.830324E-01
 -8.310108E-02	  8.278567E-02
 -8.300108E-02	 -1.735049E-02
 -8.290107E-02	 -1.173760E-01
 -8.280107E-02	 -2.172909E-01
 -8.270107E-02	 -3.170951E-01
 -8.260107E-02	 -4.167885E-01
 -8.250107E-02	 -5.163712E-01
 -8.240107E-02	 -6.158431E-01
 -8.230107E-02	 -7.152041E-01
 -8.220107E-02	 -8.144543E-01
 -8.210106E-02	 -9.135936E-01
 -8.200106E-02	 -1.012622E+00
 -8.190106E-02	 -1.111539E+00
 -8.180106E-02	 -1.210346E+00
 -8.170106E-02	 -1.309041E+00
 -8.160106E-02	 -1.407625E+00
 -8.150106E-02	 -1.506098E+00
 -8.140105E-02	 -1.604460E+00
 -8.130105E-02	 -1.702711E+00
 -8.120105E-02	 -1.800851E+00
 -8.110105E-02	 -1.898879E+00
 -8.100105E-02	 -1.996796E+00
 -8.090105E-02	 -2.094602E+00
 -8.080105E-02	 -2.192296E+00
 -8.070105E-02	 -2.289880E+00
 -8.060104E-02	 -2.387351E+00
 -8.050104E-02	 -2.484711E+00
 -8.040104E-02	 -2.581960E+00
 -8.030104E-02	 -2.679097E+00
 -8.020104E-02	 -2.776123E+00
 -8.010104E-02	 -2.873037E+00
 -8.000104E-02	 -2.969839E+00
 -7.990104E-02	 -3.066530E+00
 -7.980103E-02	  3.120076E+00
 -7.970103E-02	  3.023609E+00
 -7.960103E-02	  2.927254E+00
 -7.950103E-02	  2.831010E+00
 -7.940103E-02	  2.734878E+00
 -7.930103E-02	  2.638858E+00
 -7.920103E-02	  2.542950E+00
 -7.910103E-02	  2.447153E+00
 -7.900102E-02	  2.351469E+00
 -7.890102E-02	  2.255897E+00
 -7.880102E-02	  2.160436E+00
 -7.870102E-02	  2.065088E+00
 -7.860102E-02	  1.969852E+00
 -7.850102E-02	  1.874728E+00
 -7.840102E-02	  1.779716E+00
 -7.830101E-02	  1.684816E+00
 -7.820101E-02	  1.590029E+00
 -7.810101E-02	  1.495354E+00
 -7.800101E-02	  1.400791E+00
 -7.790101E-02	  1.306340E+00
 -7.780101E-02	  1.212002E+00
 -7.770101E-02	  1.117776E+00
 -7.760101E-02	  1.023663E+00
 -7.750100E-02	  9.296621E-01
 -7.740100E-02	  8.357737E-01
 -7.730100E-02	  7.419978E-01
 -7.720100E-02	  6.483344E-01
 -7.710100E-02	  5.547837E-01
 -7.700100E-02	  4.613456E-01
 -7.690100E-02	  3.680201E-01
 -7.680100E-02	  2.748073E-01
 -7.670099E-02	  1.817072E-01
 -7.660099E-02	  8.871990E-02
 -7.650099E-02	 -4.154632E-03
