Listing of POP Phase Cross-Section Data

File : C:\Users\liyitong\Documents\Zemax\Autosave\Recovered\R_fu_05.zos
Title: 
Date : 2026/6/29


Phase X-Cross section surface 4 
Beam wavelength is 1.00000 µm in the media with index 1.00000 at 0.0000 (deg)
Center, Y = 0.0000E+00
Beam Width X = 1.21162E-01, Y = 1.21162E-01 Millimeters
Grid size (X by Y): 2048 by 2048


  X Coordinate	    Phase (rad)
 -1.023980E-01	 -4.737718E-02
 -1.022980E-01	  1.453186E-01
 -1.021980E-01	  3.378311E-01
 -1.020980E-01	  5.301602E-01
 -1.019980E-01	  7.223059E-01
 -1.018980E-01	  9.142681E-01
 -1.017980E-01	  1.106047E+00
 -1.016980E-01	  1.297642E+00
 -1.015980E-01	  1.489054E+00
 -1.014980E-01	  1.680282E+00
 -1.013980E-01	  1.871327E+00
 -1.012980E-01	  2.062188E+00
 -1.011980E-01	  2.252866E+00
 -1.010980E-01	  2.443360E+00
 -1.009980E-01	  2.633670E+00
 -1.008980E-01	  2.823797E+00
 -1.007980E-01	  3.013740E+00
 -1.006980E-01	 -3.079687E+00
 -1.005980E-01	 -2.890111E+00
 -1.004980E-01	 -2.700720E+00
 -1.003980E-01	 -2.511512E+00
 -1.002981E-01	 -2.322488E+00
 -1.001981E-01	 -2.133648E+00
 -1.000981E-01	 -1.944991E+00
 -9.999806E-02	 -1.756519E+00
 -9.989806E-02	 -1.568231E+00
 -9.979806E-02	 -1.380126E+00
 -9.969806E-02	 -1.192206E+00
 -9.959806E-02	 -1.004469E+00
 -9.949807E-02	 -8.169170E-01
 -9.939807E-02	 -6.295487E-01
 -9.929807E-02	 -4.423644E-01
 -9.919807E-02	 -2.553642E-01
 -9.909807E-02	 -6.854822E-02
 -9.899808E-02	  1.180836E-01
 -9.889808E-02	  3.045313E-01
 -9.879808E-02	  4.907948E-01
 -9.869808E-02	  6.768741E-01
 -9.859808E-02	  8.627691E-01
 -9.849809E-02	  1.048480E+00
 -9.839809E-02	  1.234006E+00
 -9.829809E-02	  1.419348E+00
 -9.819809E-02	  1.604506E+00
 -9.809809E-02	  1.789479E+00
 -9.799809E-02	  1.974268E+00
 -9.789810E-02	  2.158873E+00
 -9.779810E-02	  2.343293E+00
 -9.769810E-02	  2.527529E+00
 -9.759810E-02	  2.711580E+00
 -9.749810E-02	  2.895446E+00
 -9.739811E-02	  3.079129E+00
 -9.729811E-02	 -3.020559E+00
 -9.719811E-02	 -2.837246E+00
 -9.709811E-02	 -2.654118E+00
 -9.699811E-02	 -2.471174E+00
 -9.689812E-02	 -2.288415E+00
 -9.679812E-02	 -2.105841E+00
 -9.669812E-02	 -1.923451E+00
 -9.659812E-02	 -1.741246E+00
 -9.649812E-02	 -1.559226E+00
 -9.639813E-02	 -1.377391E+00
 -9.629813E-02	 -1.195740E+00
 -9.619813E-02	 -1.014274E+00
 -9.609813E-02	 -8.329931E-01
 -9.599813E-02	 -6.518969E-01
 -9.589814E-02	 -4.709857E-01
 -9.579814E-02	 -2.902593E-01
 -9.569814E-02	 -1.097179E-01
 -9.559814E-02	  7.063852E-02
 -9.549814E-02	  2.508100E-01
 -9.539815E-02	  4.307965E-01
 -9.529815E-02	  6.105980E-01
 -9.519815E-02	  7.902144E-01
 -9.509815E-02	  9.696458E-01
 -9.499815E-02	  1.148892E+00
 -9.489816E-02	  1.327953E+00
 -9.479816E-02	  1.506829E+00
 -9.469816E-02	  1.685520E+00
 -9.459816E-02	  1.864026E+00
 -9.449816E-02	  2.042347E+00
 -9.439816E-02	  2.220482E+00
 -9.429817E-02	  2.398432E+00
 -9.419817E-02	  2.576197E+00
 -9.409817E-02	  2.753776E+00
 -9.399817E-02	  2.931171E+00
 -9.389817E-02	  3.108380E+00
 -9.379818E-02	 -2.997782E+00
 -9.369818E-02	 -2.820944E+00
 -9.359818E-02	 -2.644291E+00
 -9.349818E-02	 -2.467824E+00
 -9.339818E-02	 -2.291542E+00
 -9.329819E-02	 -2.115445E+00
 -9.319819E-02	 -1.939534E+00
 -9.309819E-02	 -1.763808E+00
 -9.299819E-02	 -1.588268E+00
 -9.289819E-02	 -1.412914E+00
 -9.279820E-02	 -1.237745E+00
 -9.269820E-02	 -1.062761E+00
 -9.259820E-02	 -8.879635E-01
 -9.249820E-02	 -7.133513E-01
 -9.239820E-02	 -5.389247E-01
 -9.229821E-02	 -3.646838E-01
 -9.219821E-02	 -1.906285E-01
 -9.209821E-02	 -1.675899E-02
 -9.199821E-02	  1.569248E-01
 -9.189821E-02	  3.304230E-01
 -9.179822E-02	  5.037353E-01
 -9.169822E-02	  6.768619E-01
 -9.159822E-02	  8.498026E-01
 -9.149822E-02	  1.022558E+00
 -9.139822E-02	  1.195127E+00
 -9.129823E-02	  1.367510E+00
 -9.119823E-02	  1.539707E+00
 -9.109823E-02	  1.711719E+00
 -9.099823E-02	  1.883544E+00
