Listing of POP Phase Cross-Section Data

File : C:\Users\liyitong\Documents\Zemax\Autosave\Recovered\R_fu_05.zos
Title: 
Date : 2026/6/30


Phase X-Cross section surface 3 
Beam wavelength is 1.00000 µm in the media with index 1.00000 at 0.0000 (deg)
Center, Y = 0.0000E+00
Beam Width X = 1.17870E-01, Y = 1.17870E-01 Millimeters
Grid size (X by Y): 2048 by 2048


  X Coordinate	    Phase (rad)
 -1.024000E-01	  8.032865E-02
 -1.023000E-01	  7.009809E-05
 -1.022000E-01	 -8.012019E-02
 -1.021000E-01	 -1.602422E-01
 -1.020000E-01	 -2.402959E-01
 -1.019000E-01	 -3.202812E-01
 -1.018000E-01	 -4.001982E-01
 -1.017000E-01	 -4.800468E-01
 -1.016000E-01	 -5.598270E-01
 -1.015000E-01	 -6.395387E-01
 -1.014000E-01	 -7.191819E-01
 -1.013000E-01	 -7.987566E-01
 -1.012000E-01	 -8.782628E-01
 -1.011000E-01	 -9.577004E-01
 -1.010000E-01	 -1.037069E+00
 -1.009000E-01	 -1.116370E+00
 -1.008000E-01	 -1.195602E+00
 -1.007000E-01	 -1.274765E+00
 -1.006000E-01	 -1.353859E+00
 -1.005000E-01	 -1.432885E+00
 -1.004000E-01	 -1.511842E+00
 -1.003000E-01	 -1.590730E+00
 -1.002000E-01	 -1.669549E+00
 -1.001000E-01	 -1.748300E+00
 -1.000000E-01	 -1.826981E+00
 -9.990000E-02	 -1.905594E+00
 -9.980000E-02	 -1.984138E+00
 -9.970000E-02	 -2.062613E+00
 -9.960000E-02	 -2.141019E+00
 -9.950000E-02	 -2.219355E+00
 -9.940000E-02	 -2.297623E+00
 -9.930000E-02	 -2.375822E+00
 -9.920000E-02	 -2.453952E+00
 -9.910000E-02	 -2.532012E+00
 -9.900000E-02	 -2.610004E+00
 -9.890000E-02	 -2.687926E+00
 -9.880000E-02	 -2.765779E+00
 -9.870000E-02	 -2.843563E+00
 -9.860000E-02	 -2.921278E+00
 -9.850000E-02	 -2.998923E+00
 -9.840000E-02	 -3.076499E+00
 -9.830000E-02	  3.129179E+00
 -9.820000E-02	  3.051742E+00
 -9.810000E-02	  2.974374E+00
 -9.800000E-02	  2.897075E+00
 -9.790000E-02	  2.819846E+00
 -9.780000E-02	  2.742686E+00
 -9.770000E-02	  2.665596E+00
 -9.760000E-02	  2.588575E+00
 -9.750000E-02	  2.511624E+00
 -9.740000E-02	  2.434743E+00
 -9.730000E-02	  2.357931E+00
 -9.720000E-02	  2.281188E+00
 -9.710000E-02	  2.204515E+00
 -9.700000E-02	  2.127912E+00
 -9.690000E-02	  2.051379E+00
 -9.680000E-02	  1.974915E+00
 -9.670000E-02	  1.898522E+00
 -9.660000E-02	  1.822197E+00
 -9.650000E-02	  1.745943E+00
 -9.640000E-02	  1.669759E+00
 -9.630000E-02	  1.593644E+00
 -9.620000E-02	  1.517599E+00
 -9.610000E-02	  1.441625E+00
 -9.600000E-02	  1.365720E+00
 -9.590000E-02	  1.289885E+00
 -9.580000E-02	  1.214120E+00
 -9.570000E-02	  1.138425E+00
 -9.560000E-02	  1.062801E+00
 -9.550000E-02	  9.872458E-01
 -9.540000E-02	  9.117612E-01
 -9.530000E-02	  8.363467E-01
 -9.520000E-02	  7.610024E-01
 -9.510000E-02	  6.857283E-01
 -9.500000E-02	  6.105243E-01
 -9.490000E-02	  5.353906E-01
 -9.480000E-02	  4.603272E-01
 -9.470000E-02	  3.853340E-01
 -9.460000E-02	  3.104112E-01
 -9.450000E-02	  2.355587E-01
 -9.440000E-02	  1.607765E-01
 -9.430000E-02	  8.606480E-02
 -9.420000E-02	  1.142347E-02
 -9.410000E-02	 -6.314741E-02
 -9.400000E-02	 -1.376478E-01
 -9.390000E-02	 -2.120777E-01
 -9.380000E-02	 -2.864371E-01
 -9.370000E-02	 -3.607260E-01
 -9.360000E-02	 -4.349442E-01
 -9.350000E-02	 -5.090919E-01
 -9.340000E-02	 -5.831689E-01
 -9.330000E-02	 -6.571753E-01
 -9.320000E-02	 -7.311110E-01
 -9.310000E-02	 -8.049760E-01
 -9.300000E-02	 -8.787703E-01
 -9.290000E-02	 -9.524938E-01
 -9.280000E-02	 -1.026146E+00
 -9.270000E-02	 -1.099728E+00
 -9.260000E-02	 -1.173239E+00
 -9.250000E-02	 -1.246680E+00
 -9.240000E-02	 -1.320049E+00
 -9.230000E-02	 -1.393347E+00
 -9.220000E-02	 -1.466575E+00
 -9.210000E-02	 -1.539731E+00
 -9.200000E-02	 -1.612817E+00
 -9.190000E-02	 -1.685831E+00
 -9.180000E-02	 -1.758775E+00
 -9.170000E-02	 -1.831647E+00
 -9.160000E-02	 -1.904449E+00
 -9.150000E-02	 -1.977179E+00
 -9.140000E-02	 -2.049838E+00
 -9.130000E-02	 -2.122426E+00
 -9.120000E-02	 -2.194942E+00
 -9.110000E-02	 -2.267388E+00
