x_mm,wrapped_rad,unwrapped_rad,quadratic_fit_rad,quadratic_residual_rad,quartic_fit_rad,quartic_residual_rad
-4.510000000000000120e-02,-1.815212999999999965e-01,6.101664007179586235e+00,6.100698987224781433e+00,9.650199548048021825e-04,6.101658824196681152e+00,5.182982905083122205e-06
-4.504999999999999977e-02,-1.533142999999999867e-01,6.129871007179586329e+00,6.128957078114675383e+00,9.139290649109454989e-04,6.129865852881982491e+00,5.154297603837676434e-06
-4.499999999999999833e-02,-1.251382000000000050e-01,6.158047107179585922e+00,6.157183823352998076e+00,8.632838265878461925e-04,6.158041845626133437e+00,5.261553452484690752e-06
-4.494999999999999690e-02,-9.699320999999999637e-02,6.186192097179586291e+00,6.185379222939763721e+00,8.128742398225696775e-04,6.186186801586568862e+00,5.295593017429212068e-06
-4.490000000000000241e-02,-6.887923999999999436e-02,6.214306067179586002e+00,6.213543276874958110e+00,7.627903046278916577e-04,6.214300719921633132e+00,5.347257952870165809e-06
-4.485000000000000098e-02,-4.079631000000000229e-02,6.242388997179586063e+00,6.241675985158590123e+00,7.130120209959400768e-04,6.242383599790631621e+00,5.397388954442305931e-06
-4.479999999999999954e-02,-1.274441999999999936e-02,6.270440887179586475e+00,6.269777347790668642e+00,6.635393889178331506e-04,6.270435440353804069e+00,5.446825782406961025e-06
-4.474999999999999811e-02,1.527643000000000056e-02,6.298461737179586351e+00,6.297847364771174128e+00,6.143724084122226259e-04,6.298456240772301484e+00,5.496407284866222653e-06
-4.469999999999999668e-02,4.326623000000000274e-02,6.326451537179586637e+00,6.325886036100124343e+00,5.655010794622938874e-04,6.326446000208239440e+00,5.536971347197550131e-06
-4.465000000000000219e-02,7.122499000000000191e-02,6.354410297179586387e+00,6.353893361777503301e+00,5.169354020830851937e-04,6.354404717824639448e+00,5.579354946938508419e-06
-4.460000000000000075e-02,9.915271000000000501e-02,6.382338017179586487e+00,6.381869341803318108e+00,4.686753762683792957e-04,6.382332392785487585e+00,5.624394098902030237e-06
-4.454999999999999932e-02,1.270494000000000068e-01,6.410234707179585989e+00,6.409813976177577644e+00,4.207310020083454560e-04,6.410229024255697183e+00,5.682923888805646584e-06
-4.449999999999999789e-02,1.549149999999999971e-01,6.438100307179586146e+00,6.437727264900265922e+00,3.730422793202237131e-04,6.438094611401099954e+00,5.695778486192182299e-06
-4.445000000000000340e-02,1.827496000000000120e-01,6.465934907179586411e+00,6.465609207971391825e+00,3.256992081945853101e-04,6.465929153388479733e+00,5.753791106677397238e-06
-4.440000000000000197e-02,2.105530999999999930e-01,6.493738407179586503e+00,6.493459805390962458e+00,2.786017886240443886e-04,6.493732649385567157e+00,5.757794019345396919e-06
-4.435000000000000053e-02,2.383255999999999986e-01,6.521510907179585814e+00,6.521279057158960057e+00,2.318500206257567697e-04,6.521505098560991698e+00,5.808618594116410350e-06
-4.429999999999999910e-02,2.660671000000000008e-01,6.549252407179586122e+00,6.549066963275404163e+00,1.854439041819588851e-04,6.549246500084365152e+00,5.907095220969438287e-06
-4.424999999999999767e-02,2.937774000000000219e-01,6.576962707179585976e+00,6.576823523740277011e+00,1.391834393089652622e-04,6.576956853126187497e+00,5.854053398479663883e-06
-4.420000000000000318e-02,3.214567999999999870e-01,6.604642107179586219e+00,6.604548738553583931e+00,9.336862600228812425e-05,6.604636156857932150e+00,5.950321654069057331e-06
-4.415000000000000174e-02,3.491051000000000015e-01,6.632290407179586289e+00,6.632242607715335581e+00,4.779946425070846772e-05,6.632284410451996237e+00,5.996727590051875723e-06
-4.410000000000000031e-02,3.767223000000000099e-01,6.659907607179586186e+00,6.659905131225517749e+00,2.475954068437147271e-06,6.659901613081697036e+00,5.994097889150395986e-06
-4.404999999999999888e-02,4.043085000000000151e-01,6.687493807179586192e+00,6.687536309084144648e+00,-4.250190455845626047e-05,6.687487763921316386e+00,6.043258269805562577e-06
-4.399999999999999745e-02,4.318636000000000141e-01,6.715048907179586024e+00,6.715136141291200289e+00,-8.723411161426497529e-05,6.715042862146040292e+00,6.045033545731826052e-06
-4.395000000000000295e-02,4.593877000000000099e-01,6.742573007179585964e+00,6.742704627846691778e+00,-1.316206671058139932e-04,6.742566906932010440e+00,6.100247575524520016e-06
-4.390000000000000152e-02,4.868806999999999996e-01,6.770066007179586620e+00,6.770241768750629774e+00,-1.757615710431537082e-04,6.770059897456315312e+00,6.109723271308098447e-06
-4.385000000000000009e-02,5.143427000000000415e-01,6.797528007179586496e+00,6.797747564002994736e+00,-2.195568234082401204e-04,6.797521832896940452e+00,6.174282646043138811e-06
-4.379999999999999866e-02,5.417735999999999663e-01,6.824958907179586198e+00,6.825222013603802651e+00,-2.631064242164526945e-04,6.824952712432853730e+00,6.194746732468559003e-06
-4.374999999999999722e-02,5.691734000000000515e-01,6.852358707179586617e+00,6.852665117553039309e+00,-3.064103734526923972e-04,6.852352535243909415e+00,6.171935677201645376e-06
-4.370000000000000273e-02,5.965422000000000224e-01,6.879727507179586254e+00,6.880076875850715368e+00,-3.493686711291132951e-04,6.879721300510940551e+00,6.206668645702961840e-06
-4.365000000000000130e-02,6.238799000000000428e-01,6.907065207179586608e+00,6.907457288496834380e+00,-3.920813172477721764e-04,6.907059007415700336e+00,6.199763886272080526e-06
-4.359999999999999987e-02,6.511865999999999488e-01,6.934371907179586181e+00,6.934806355491383911e+00,-4.344483117977304687e-04,6.934365655140869222e+00,6.252038716958452369e-06
-4.354999999999999843e-02,6.784622000000000153e-01,6.961647507179586469e+00,6.962124076834376396e+00,-4.765696547899267443e-04,6.961641242870072688e+00,6.264309513781540772e-06
-4.349999999999999700e-02,7.057067000000000201e-01,6.988892007179586585e+00,6.989410452525797623e+00,-5.184453462110383271e-04,6.988885769787863467e+00,6.237391723118435038e-06
-4.345000000000000251e-02,7.329202000000000217e-01,7.016105507179585921e+00,7.016665482565656475e+00,-5.599753860705547481e-04,7.016099235079739316e+00,6.272099846604817230e-06
-4.340000000000000108e-02,7.601027000000000200e-01,7.043288007179586252e+00,7.043889166953958281e+00,-6.011597743720287212e-04,7.043281637932139461e+00,6.369247446791348466e-06
-4.334999999999999964e-02,7.872540000000000093e-01,7.070439307179586130e+00,7.071081505690690605e+00,-6.421985111044747896e-04,7.070432977532414398e+00,6.329647171732233346e-06
