x_mm,unwrapped_rad,sphere_fit_rad,sphere_residual_rad
-4.159999999999999809e-02,8.001160307179585374e+00,8.003090058088204728e+00,-1.929750908619354277e-03
-4.154999999999999666e-02,8.027192307179586095e+00,8.029154233184522482e+00,-1.961926004936387358e-03
-4.150000000000000216e-02,8.053194307179586175e+00,8.055187060027707346e+00,-1.992752848121170928e-03
-4.145000000000000073e-02,8.079164307179585336e+00,8.081188538617759320e+00,-2.024231438173984543e-03
-4.139999999999999930e-02,8.105103307179586380e+00,8.107158668954678404e+00,-2.055361775092023890e-03
-4.134999999999999787e-02,8.131011307179585756e+00,8.133097451038466374e+00,-2.086143858880618041e-03
-4.130000000000000338e-02,8.156888307179585240e+00,8.159004884973962035e+00,-2.116577794376794941e-03
-4.125000000000000194e-02,8.182734307179586608e+00,8.184880970656324806e+00,-2.146663476738197573e-03
-4.120000000000000051e-02,8.208549307179586307e+00,8.210725708085556462e+00,-2.176400905970155009e-03
-4.114999999999999908e-02,8.234333307179586114e+00,8.236539097314073743e+00,-2.205790134487628507e-03
-4.109999999999999765e-02,8.260086307179586029e+00,8.262321138446720781e+00,-2.234831267134751442e-03
-4.105000000000000315e-02,8.285807307179586800e+00,8.288071831326231376e+00,-2.264524146644575353e-03
-4.100000000000000172e-02,8.311498307179586931e+00,8.313791176005032924e+00,-2.292868825445992798e-03
-4.095000000000000029e-02,8.337157307179586141e+00,8.339479172535542162e+00,-2.321865355956020949e-03
-4.089999999999999886e-02,8.362785307179585459e+00,8.365135820970179381e+00,-2.350513790593922181e-03
-4.084999999999999742e-02,8.388382307179586661e+00,8.390761121204105777e+00,-2.378814024519115833e-03
-4.080000000000000293e-02,8.413948307179586195e+00,8.416355073289738087e+00,-2.406766110151892235e-03
-4.075000000000000150e-02,8.439483307179585836e+00,8.441917677227079864e+00,-2.434370047494027745e-03
-4.070000000000000007e-02,8.464987307179585585e+00,8.467448933068547845e+00,-2.461625888962259978e-03
-4.064999999999999863e-02,8.490460307179585442e+00,8.492948840814143807e+00,-2.488533634558365293e-03
-4.059999999999999720e-02,8.515901307179586155e+00,8.518417400411449236e+00,-2.516093231863081314e-03
-4.055000000000000271e-02,8.541312307179586227e+00,8.543854611965301160e+00,-2.542304785714932791e-03
-4.050000000000000128e-02,8.566691307179585380e+00,8.569260475370860775e+00,-2.569168191275394975e-03
-4.044999999999999984e-02,8.592040307179585668e+00,8.594634990732968660e+00,-2.594683553382992613e-03
-4.039999999999999841e-02,8.617357307179586812e+00,8.619978157999206303e+00,-2.620850819619491290e-03
-4.034999999999999698e-02,8.642643307179586287e+00,8.645289977169570150e+00,-2.646669989983863047e-03
-4.030000000000000249e-02,8.667898307179585871e+00,8.670570448348900783e+00,-2.672141169314912190e-03
-4.025000000000000105e-02,8.693122307179585562e+00,8.695819571432361172e+00,-2.697264252775610771e-03
-4.019999999999999962e-02,8.718314307179586109e+00,8.721037346472366281e+00,-2.723039292780171650e-03
-4.014999999999999819e-02,8.743476307179586016e+00,8.746223773468921436e+00,-2.747466289335420697e-03
-4.009999999999999676e-02,8.768607307179586030e+00,8.771378852474445154e+00,-2.771545294859123487e-03
-4.005000000000000226e-02,8.793706307179586901e+00,8.796502583436517142e+00,-2.796276256930241289e-03
-4.000000000000000083e-02,8.818774307179586103e+00,8.821594966407557692e+00,-2.820659227971589189e-03
-3.994999999999999940e-02,8.843811307179585413e+00,8.846656001387565027e+00,-2.844694207979614475e-03
-3.989999999999999797e-02,8.868817307179586606e+00,8.871685688376540924e+00,-2.868381196954317147e-03
-3.984999999999999654e-02,8.893792307179586132e+00,8.896684027374485382e+00,-2.891720194899249918e-03
-3.980000000000000204e-02,8.918736307179585765e+00,8.921651018381396625e+00,-2.914711201810860075e-03
-3.975000000000000061e-02,8.943649307179587282e+00,8.946586661397276430e+00,-2.937354217689147617e-03
-3.969999999999999918e-02,8.968530307179586103e+00,8.971490956474545087e+00,-2.960649294958983546e-03
-3.964999999999999775e-02,8.993381307179586059e+00,8.996363903665621109e+00,-2.982596486035049566e-03
-3.960000000000000325e-02,9.018200307179586872e+00,9.021205502813245403e+00,-3.005195633658530596e-03
-3.955000000000000182e-02,9.042988307179586016e+00,9.046015754074677062e+00,-3.027446895091046031e-03
-3.950000000000000039e-02,9.067745307179585268e+00,9.070794657397497573e+00,-3.049350217912305538e-03
-3.944999999999999896e-02,9.092471307179586404e+00,9.095542212834127227e+00,-3.070905654540823093e-03
-3.939999999999999752e-02,9.117166307179585871e+00,9.120258420332143956e+00,-3.092113152558084721e-03
-3.935000000000000303e-02,9.141830307179585446e+00,9.144943279891549537e+00,-3.112972711964090422e-03
-3.930000000000000160e-02,9.166462307179585878e+00,9.169596791617182774e+00,-3.134484437596896100e-03
-3.925000000000000017e-02,9.191064307179585668e+00,9.194218955404199534e+00,-3.154648224613865182e-03
-3.919999999999999873e-02,9.215634307179586315e+00,9.218809771357449279e+00,-3.175464177862963311e-03
-3.914999999999999730e-02,9.240173307179585294e+00,9.243369239424508166e+00,-3.195932244922872201e-03
-3.910000000000000281e-02,9.264681307179586156e+00,9.267897359605374419e+00,-3.216052425788262781e-03
-3.905000000000000138e-02,9.289158307179587126e+00,9.292394131952468328e+00,-3.235824772881201739e-03
-3.899999999999999994e-02,9.313604307179586428e+00,9.316859556413369603e+00,-3.255249233783175100e-03
-3.894999999999999851e-02,9.338019307179585837e+00,9.341293633092920601e+00,-3.274325913334763527e-03
-3.889999999999999708e-02,9.362402307179586103e+00,9.365696361938701031e+00,-3.294054759114928288e-03
-3.885000000000000259e-02,9.386755307179585728e+00,9.390067742898287051e+00,-3.312435718701323140e-03
-3.880000000000000115e-02,9.411076307179586209e+00,9.414407776076522794e+00,-3.331468896936584656e-03
-3.874999999999999972e-02,9.435366614359171678e+00,9.438716461473406483e+00,-3.349847114234805190e-03
-3.869999999999999829e-02,9.459625614359172374e+00,9.462993799088939895e+00,-3.368184729767520480e-03
-3.864999999999999686e-02,9.483853614359173179e+00,9.487239788818278896e+00,-3.386174459105717460e-03
-3.860000000000000236e-02,9.508049614359173063e+00,9.511454430818687911e+00,-3.404816459514847793e-03
-3.855000000000000093e-02,9.532215614359172307e+00,9.535637725090165162e+00,-3.422110730992855565e-03
-3.849999999999999950e-02,9.556349614359172406e+00,9.559789671527871846e+00,-3.440057168699439671e-03
-3.844999999999999807e-02,9.580453614359171866e+00,9.583910270236644990e+00,-3.456655877473124860e-03
-3.839999999999999664e-02,9.604525614359172181e+00,9.607999521164067858e+00,-3.473906804895676714e-03
-3.835000000000000214e-02,9.628566614359172604e+00,9.632057424362555409e+00,-3.490810003382804894e-03
-3.830000000000000071e-02,9.652576614359173135e+00,9.656083979832114750e+00,-3.507365472941614826e-03
-3.824999999999999928e-02,9.676554614359172746e+00,9.680079187572742327e+00,-3.524573213569581753e-03
-3.819999999999999785e-02,9.700502614359173492e+00,9.704043047584438142e+00,-3.540433225264649764e-03
-3.815000000000000335e-02,9.724419614359172570e+00,9.727975559919622484e+00,-3.555945560449913501e-03
-3.810000000000000192e-02,9.748304614359172504e+00,9.751876724473454772e+00,-3.572110114282267546e-03
-3.805000000000000049e-02,9.772158614359172546e+00,9.775746541403195877e+00,-3.587927044023331291e-03
-3.799999999999999906e-02,9.795981614359172696e+00,9.799585010604005220e+00,-3.603396244832524076e-03
-3.794999999999999762e-02,9.819773614359172953e+00,9.823392132128304866e+00,-3.618517769131912587e-03
-3.790000000000000313e-02,9.843534614359171542e+00,9.847167905976091262e+00,-3.633291616919720468e-03
-3.785000000000000170e-02,9.867263614359172763e+00,9.870912332147366186e+00,-3.648717788193422962e-03
-3.780000000000000027e-02,9.890962614359171567e+00,9.894625410694549927e+00,-3.662796335378359913e-03
-3.774999999999999883e-02,9.914629614359173004e+00,9.918307141565222196e+00,-3.677527206049191477e-03
-3.769999999999999740e-02,9.938265614359172773e+00,9.941957524811803282e+00,-3.691910452630509099e-03
-3.765000000000000291e-02,9.961870614359172649e+00,9.965576560381872895e+00,-3.705946022700246090e-03
-3.760000000000000148e-02,9.985444614359172633e+00,9.989164248380269839e+00,-3.719634021097206755e-03
-3.755000000000000004e-02,1.000898761435917272e+01,1.001272058870215709e+01,-3.732974342984363147e-03
-3.749999999999999861e-02,1.003249861435917190e+01,1.003624558145237167e+01,-3.746967093199771170e-03
-3.744999999999999718e-02,1.005597961435917220e+01,1.005973922657849151e+01,-3.759612219319308224e-03
-3.740000000000000269e-02,1.007942861435917337e+01,1.008320152413294402e+01,-3.772909773770649622e-03
-3.735000000000000125e-02,1.010284661435917286e+01,1.010663247406330534e+01,-3.785859704132477077e-03
-3.729999999999999982e-02,1.012623361435917246e+01,1.013003207642199399e+01,-3.798462062821528207e-03
